iter	F1	Logloss
0	0	0.6931364583
1	0.5026367335	0.692511316
2	0.2270244597	0.6919224196
3	0.325453778	0.6912460201
4	0.3799482793	0.6907044954
5	0.3438479215	0.6906917597
6	0.3417508418	0.6905924452
7	0.3180534434	0.6905871397
8	0.3311058418	0.6902502855
9	0.3708418891	0.6893591876
10	0.4352986217	0.6885748584
11	0.4375590402	0.6882171543
12	0.4407734184	0.687789913
13	0.4358298833	0.687561888
14	0.4405554499	0.6869403783
15	0.4567370585	0.6863233779
16	0.4678578007	0.6857169991
17	0.4835484457	0.6854312838
18	0.4903531125	0.6850508482
19	0.5065672701	0.6845466376
20	0.506637962	0.6841141064
21	0.5082793377	0.6839940082
22	0.5088224703	0.6838204825
23	0.5127929862	0.6837557846
24	0.5111866834	0.6834503217
25	0.5263714941	0.6826953929
26	0.5364157831	0.6821824209
27	0.5452660677	0.681840192
28	0.5501718213	0.6816019226
29	0.5453287197	0.6814210685
30	0.550988822	0.6811073385
31	0.550988822	0.6809674049
32	0.5528706084	0.6805120336
33	0.5614802355	0.6800009738
34	0.5612794613	0.6795077747
35	0.5629604823	0.6794095212
36	0.5719013735	0.6791222106
37	0.5715232886	0.6791220318
38	0.5738957157	0.6785194549
39	0.5733244857	0.6780134989
40	0.5728460394	0.6777803785
41	0.5806451613	0.677557652
42	0.5809319941	0.6774946237
43	0.5779680553	0.6772955366
44	0.5783846027	0.6772310954
45	0.5785396407	0.6772246558
46	0.5858221201	0.6763426188
47	0.5894566099	0.6759372592
48	0.5961631469	0.6751812057
49	0.5987117552	0.6748635811
50	0.5976826521	0.6746011496
51	0.6001606426	0.6744154993
52	0.6059634498	0.6740157095
53	0.6020883534	0.6738947434
54	0.6046660275	0.6735930876
55	0.6095420456	0.673191968
56	0.6089030207	0.673022616
57	0.6116860373	0.6726574057
58	0.6140461879	0.672294126
59	0.6180392157	0.6714794711
60	0.6207650273	0.6711299295
61	0.6203342183	0.6711253343
62	0.6220693967	0.6707669134
63	0.624160025	0.6704514474
64	0.6251174444	0.6701671684
65	0.6280991736	0.6698609851
66	0.6301028358	0.6694935428
67	0.6232064878	0.6693608033
68	0.6236357967	0.6693604657
69	0.6235422174	0.6690548644
70	0.6277258567	0.668795154
71	0.630529595	0.6682601761
72	0.6297792975	0.6680030188
73	0.6303067865	0.6677068823
74	0.6306194964	0.6674520173
75	0.630407911	0.6672897617
76	0.6314484895	0.666879178
77	0.6334729331	0.6665664455
78	0.6334729331	0.6665664455
79	0.6354649367	0.6662501521
80	0.6355053397	0.6660630825
81	0.6383307573	0.665726094
82	0.6381202659	0.6656614807
83	0.6380349143	0.6656444821
84	0.6396299152	0.6654238699
85	0.6392961877	0.6653769019
86	0.637654321	0.6653561899
87	0.64	0.6646681613
88	0.6422300939	0.6643050693
89	0.6450015475	0.6640218773
90	0.6457204767	0.6636078153
91	0.6425479283	0.6634353633
92	0.6459916266	0.662946689
93	0.6505050505	0.6622845544
94	0.6505050505	0.6622845544
95	0.6522952854	0.662166592
96	0.6522952854	0.662166592
97	0.6546695625	0.6619549158
98	0.6552151037	0.661327347
99	0.6577201913	0.6608781277
100	0.6597969855	0.6605714412
101	0.6630769231	0.6601414104
102	0.6649302896	0.6595442032
103	0.6635013019	0.6593468666
104	0.6643228371	0.6590214981
105	0.6643228371	0.6590214981
106	0.6626874809	0.6588484667
107	0.6621725142	0.6584538505
108	0.6625710336	0.6581098585
