iter	Passed	Remaining
0	151	75500
1	178	44449
2	206	34208
3	224	27849
4	252	25024
5	263	21668
6	277	19547
7	287	17696
8	301	16468
9	311	15268
10	339	15088
11	366	14907
12	397	14884
13	425	14765
14	431	13953
15	437	13228
16	459	13057
17	469	12579
18	491	12441
19	497	11935
20	515	11755
21	537	11688
22	566	11751
23	582	11548
24	594	11298
25	623	11372
26	654	11461
27	684	11543
28	714	11609
29	744	11664
30	755	11429
31	782	11442
32	810	11465
33	837	11485
34	866	11508
35	893	11518
36	909	11384
37	937	11396
38	948	11217
39	985	11333
40	992	11108
41	1082	11799
42	1127	11984
43	1178	12213
44	1210	12240
45	1243	12267
46	1262	12163
47	1297	12221
48	1326	12213
49	1333	11998
50	1365	12018
51	1395	12022
52	1424	12013
53	1452	11996
54	1471	11905
55	1507	11948
56	1535	11934
57	1565	11932
58	1593	11912
59	1621	11888
60	1649	11873
61	1665	11762
62	1693	11746
63	1720	11720
64	1747	11694
65	1774	11671
66	1802	11647
67	1828	11618
68	1855	11588
69	1881	11556
70	1907	11527
71	1933	11495
72	1961	11471
73	1990	11457
74	2018	11436
75	2045	11413
76	2073	11389
77	2101	11368
78	2128	11344
79	2155	11317
80	2183	11292
81	2210	11270
82	2238	11246
83	2265	11221
84	2276	11116
85	2304	11091
86	2342	11118
87	2369	11092
88	2396	11067
89	2422	11035
90	2449	11010
91	2476	10982
92	2504	10958
93	2530	10929
94	2558	10908
95	2587	10889
96	2593	10775
97	2622	10756
98	2628	10646
99	2656	10626
100	2683	10601
101	2713	10588
102	2734	10538
103	2763	10524
104	2778	10453
105	2796	10394
106	2806	10308
107	2833	10286
108	2861	10265
109	2888	10242
110	2916	10221
111	2944	10198
112	2958	10132
113	2976	10078
114	3003	10056
115	3031	10035
116	3058	10013
117	3087	9995
118	3116	9977
119	3145	9959
120	3173	9940
121	3201	9920
122	3224	9882
123	3251	9860
124	3279	9839
125	3307	9816
126	3335	9795
127	3363	9776
128	3395	9764
129	3423	9743
130	3451	9722
131	3478	9698
132	3505	9674
133	3533	9650
134	3560	9626
135	3591	9611
136	3619	9590
137	3650	9576
138	3678	9552
139	3705	9529
140	3734	9508
141	3744	9441
142	3771	9416
143	3802	9399
144	3830	9377
145	3863	9367
146	3890	9343
147	3919	9322
148	3934	9268
149	3961	9242
150	3989	9221
151	4017	9197
152	4044	9172
153	4071	9148
154	4099	9125
155	4113	9071
156	4123	9008
157	4148	8980
158	4166	8936
159	4194	8913
160	4221	8888
161	4249	8865
162	4276	8840
163	4302	8815
164	4332	8796
165	4360	8772
166	4387	8748
167	4415	8725
168	4443	8702
169	4470	8678
170	4499	8656
171	4527	8633
172	4554	8609
173	4583	8586
174	4610	8562
175	4637	8537
176	4666	8515
177	4694	8492
178	4722	8469
179	4750	8444
180	4777	8420
181	4805	8396
182	4832	8371
183	4859	8345
184	4891	8328
185	4924	8313
186	4953	8291
187	4981	8267
188	5009	8243
189	5038	8220
190	5065	8195
191	5092	8169
192	5121	8146
193	5149	8121
194	5176	8096
195	5204	8072
196	5232	8048
197	5260	8024
198	5288	7999
199	5316	7974
200	5344	7950
201	5374	7928
202	5401	7903
203	5428	7876
204	5455	7850
205	5483	7826
206	5511	7800
207	5539	7776
208	5567	7752
209	5594	7725
210	5623	7702
211	5651	7677
212	5678	7651
213	5705	7625
214	5734	7601
215	5762	7576
216	5789	7550
217	5821	7530
218	5849	7505
219	5878	7481
220	5906	7456
221	5933	7430
222	5960	7403
223	5988	7378
224	6015	7352
225	6042	7326
226	6071	7302
227	6099	7276
228	6128	7252
229	6156	7227
230	6184	7202
231	6212	7176
232	6239	7149
233	6267	7124
234	6306	7111
235	6337	7089
236	6364	7062
237	6391	7035
238	6419	7010
239	6447	6984
240	6473	6957
241	6500	6930
242	6528	6905
243	6558	6880
244	6589	6858
245	6626	6841
246	6662	6823
247	6696	6804
248	6727	6781
249	6756	6756
250	6788	6734
251	6824	6716
252	6860	6697
253	6893	6676
254	6923	6652
255	6952	6626
256	6982	6602
257	7015	6580
258	7051	6561
259	7085	6540
260	7114	6515
261	7146	6491
262	7175	6466
263	7206	6442
264	7234	6415
265	7264	6390
266	7293	6364
267	7323	6339
268	7367	6326
269	7401	6304
270	7442	6289
271	7484	6274
272	7517	6251
273	7551	6228
274	7583	6204
275	7615	6180
276	7648	6157
277	7686	6137
278	7749	6138
279	7790	6121
280	7828	6101
281	7864	6079
282	7897	6055
283	7929	6031
284	7976	6017
285	8007	5991
286	8039	5966
287	8071	5941
288	8103	5916
289	8146	5898
290	8180	5875
291	8213	5850
292	8246	5825
293	8281	5803
294	8311	5775
295	8344	5750
296	8382	5729
297	8425	5711
298	8502	5715
299	8601	5734
300	8655	5722
301	8748	5735
302	8865	5764
303	8916	5749
304	8967	5733
305	9005	5709
306	9042	5684
307	9081	5661
308	9119	5637
309	9155	5611
310	9198	5590
311	9257	5578
312	9296	5553
313	9327	5524
314	9357	5495
315	9389	5467
316	9419	5437
317	9451	5409
318	9482	5380
319	9513	5351
320	9547	5323
321	9622	5319
322	9746	5340
323	9798	5322
324	9843	5300
325	9891	5279
326	9936	5256
327	9976	5231
328	10010	5203
329	10042	5173
330	10073	5143
331	10106	5114
332	10137	5084
333	10167	5053
334	10197	5022
335	10229	4992
336	10260	4963
337	10293	4933
338	10323	4902
339	10354	4872
340	10385	4842
341	10418	4813
342	10449	4783
343	10479	4752
344	10509	4721
345	10538	4690
346	10568	4659
347	10597	4628
348	10628	4598
349	10657	4567
350	10688	4537
351	10718	4506
352	10747	4475
353	10777	4444
354	10805	4413
355	10835	4382
356	10864	4351
357	10895	4321
358	10926	4291
359	10960	4262
360	10994	4233
361	11028	4204
362	11060	4174
363	11092	4144
364	11123	4114
365	11156	4084
366	11186	4053
367	11220	4024
368	11251	3994
369	11280	3963
370	11309	3932
371	11337	3901
372	11367	3870
373	11411	3844
374	11441	3813
375	11469	3782
376	11498	3751
377	11529	3721
378	11559	3690
379	11590	3660
380	11621	3629
381	11655	3600
382	11687	3570
383	11720	3540
384	11751	3510
385	11783	3480
386	11817	3450
387	11851	3420
388	11885	3391
389	11918	3361
390	11949	3331
391	11979	3300
392	12009	3269
393	12039	3238
394	12069	3208
395	12099	3177
396	12128	3146
397	12157	3115
398	12187	3084
399	12217	3054
400	12248	3023
401	12280	2993
402	12311	2963
403	12342	2932
404	12377	2903
405	12410	2873
406	12444	2843
407	12477	2813
408	12527	2787
409	12560	2757
410	12593	2727
411	12627	2697
412	12658	2666
413	12690	2636
414	12720	2605
415	12750	2574
416	12780	2543
417	12811	2513
418	12851	2484
419	12892	2455
420	12927	2425
421	12961	2395
422	13000	2366
423	13034	2336
424	13067	2306
425	13100	2275
426	13131	2244
427	13162	2214
428	13191	2183
429	13220	2152
430	13251	2121
431	13280	2090
432	13309	2059
433	13339	2028
434	13369	1997
435	13398	1966
436	13427	1935
437	13456	1904
438	13485	1873
439	13515	1842
440	13549	1812
441	13584	1782
442	13614	1751
443	13642	1720
444	13672	1689
445	13703	1659
446	13734	1628
447	13764	1597
448	13796	1567
449	13827	1536
450	13859	1505
451	13892	1475
452	13922	1444
453	13951	1413
454	13980	1382
455	14012	1352
456	14046	1321
457	14080	1291
458	14111	1260
459	14142	1229
460	14171	1198
461	14200	1167
462	14229	1137
463	14258	1106
464	14287	1075
465	14317	1044
466	14347	1013
467	14377	983
468	14406	952
469	14436	921
470	14466	890
471	14495	859
472	14525	829
473	14555	798
474	14588	767
475	14627	737
476	14655	706
477	14685	675
478	14715	645
479	14744	614
480	14772	583
481	14800	552
482	14829	521
483	14857	491
484	14890	460
485	14918	429
486	14948	399
487	14976	368
488	15006	337
489	15037	306
490	15066	276
491	15095	245
492	15128	214
493	15156	184
494	15185	153
495	15215	122
496	15245	92
497	15274	61
498	15303	30
499	15332	0
